,Date,Open,High,Low,Close,Volume
116,07/17/2020,259.71,260.31,257.17,259.42,"35,137,871"
117,07/16/2020,257.97,259.78,255.62,259.12,"47,594,113"
118,07/15/2020,261.68,262.69,257.49,260.9,"54,523,871"
119,07/14/2020,256.07,260.79,252.76,260.37,"72,230,516"
120,07/13/2020,266.87,269.79,257.69,258.54,"64,108,090"
121,07/10/2020,262.0,264.23,259.26,263.97,"32,885,301"
122,07/09/2020,261.89,262.87,257.63,262.18,"40,312,910"
123,07/08/2020,258.0,260.02,256.5,259.99,"30,426,270"
124,07/07/2020,258.1,260.88,256.3,256.61,"36,578,191"
125,07/06/2020,255.46,258.93,255.43,258.39,"34,589,047"
126,07/02/2020,252.97,254.27,251.71,252.19,"31,956,500"
127,07/01/2020,247.66,251.52,247.08,250.49,"34,689,207"
128,06/30/2020,242.77,248.16,242.58,247.6,"38,909,219"
129,06/29/2020,239.98,242.85,237.35,242.84,"34,377,801"
130,06/26/2020,245.75,245.96,239.68,240.22,"52,824,551"
131,06/25/2020,243.91,246.34,241.14,246.03,"36,940,809"
132,06/24/2020,247.99,249.33,242.16,243.71,"46,032,379"
133,06/23/2020,248.39,251.15,247.82,248.84,"32,767,369"
134,06/22/2020,243.77,246.87,243.38,246.74,"24,068,680"
135,06/19/2020,246.74,247.0,242.45,244.24,"49,422,113"
136,06/18/2020,243.29,244.53,242.49,244.28,"30,578,650"
137,06/17/2020,244.4,245.5,242.73,243.62,"34,749,273"
138,06/16/2020,243.78,244.39,239.1,242.85,"48,890,102"
139,06/15/2020,232.44,239.45,231.47,238.75,"45,307,367"
140,06/12/2020,239.09,240.4,231.74,235.88,"72,034,789"
141,06/11/2020,242.29,243.59,233.96,234.02,"72,919,438"
142,06/10/2020,245.0,247.82,244.51,246.22,"58,084,406"
143,06/09/2020,240.66,244.18,240.47,243.3,"35,046,246"
144,06/08/2020,239.54,241.68,237.91,241.55,"32,937,309"
145,06/05/2020,236.06,240.3,235.63,239.69,"47,365,566"
146,06/04/2020,236.32,237.79,233.68,235.03,"38,716,102"
147,06/03/2020,236.23,237.47,235.35,236.69,"37,228,699"
148,06/02/2020,234.42,235.69,232.01,235.63,"33,383,422"
149,06/01/2020,232.4,234.45,232.0,234.06,"26,140,131"
150,05/29/2020,230.43,233.6,228.76,233.36,"50,878,602"
151,05/28/2020,229.05,233.47,229.05,229.99,"43,008,480"
152,05/27/2020,228.51,230.41,223.94,230.29,"55,665,566"
153,05/26/2020,233.44,233.57,228.79,229.04,"33,055,352"
154,05/22/2020,228.46,229.87,227.5,229.66,"28,762,391"
155,05/21/2020,231.49,232.14,228.34,228.87,"43,642,910"
156,05/20/2020,229.48,231.76,229.48,231.39,"37,417,000"
157,05/19/2020,227.66,229.85,226.71,226.86,"36,237,301"
158,05/18/2020,226.28,228.68,225.47,227.43,"42,597,551"
